row,column,area difference,gw path length
1,1,617.5,489.4248341321945
1,2,617.5,483.9680323600769
1,3,617.5,478.21505105495453
1,4,617.5,474.8903920650482
1,5,617.5,471.0018479824066
1,6,842.5,470.60173773765564
1,7,813.0,461.31274354457855
1,8,825.0,453.83293491601944
1,9,824.0,445.6673191189766
1,10,783.0,438.49793523550034
1,11,774.0,430.4771229028702
1,12,773.0,424.2557764053345
1,13,777.0,418.8115043640137
1,14,776.5,413.36175698041916
1,15,762.5,409.1540402173996
1,16,760.5,405.2097681760788
1,17,733.0,398.26002353429794
1,18,732.0,392.69771748781204
1,19,648.0,383.10754746198654
1,20,648.0,374.10754746198654
1,21,648.0,364.10754746198654
1,22,648.0,355.00046414136887
1,23,648.0,346.62883335351944
1,24,648.0,340.62883335351944
1,25,648.0,342.09439128637314
1,26,648.0,344.02332359552383
1,27,689.0,341.5544766187668
1,28,684.5,338.72604954242706
1,29,649.0,332.8927626013756
1,30,647.0,326.09329402446747
1,31,646.5,321.8506534099579
1,32,643.5,319.38180643320084
1,33,642.5,317.1588836312294
1,34,643.5,316.69222843647003
1,35,506.0,313.3184003829956
1,36,501.0,309.96758741140366
1,37,499.0,306.67579144239426
1,38,473.0,304.5272226333618
1,39,478.5,301.8993324637413
1,40,477.5,300.6643589735031
1,41,477.0,299.22009241580963
1,42,476.0,297.20099008083344
1,43,501.5,294.77581763267517
1,44,501.0,294.30039805173874
1,45,277.5,288.9796380996704
1,46,277.5,283.9796380996704
1,47,277.0,281.1512110233307
1,48,272.5,279.18674486875534
1,49,272.0,278.01517194509506
1,50,252.5,276.66654801368713
1,51,251.0,274.49497509002686
1,52,239.5,272.7834874987602
1,53,242.0,270.76219338178635
1,54,241.5,268.23542392253876
1,55,242.0,267.85674422979355
1,56,242.0,267.85674422979355
1,57,257.0,267.9249991774559
1,58,254.5,266.9260936975479
1,59,254.5,266.9260936975479
1,60,254.5,266.9260936975479
1,61,254.5,266.9260936975479
1,62,254.5,266.9260936975479
1,63,254.5,266.9260936975479
1,64,254.5,266.9260936975479
1,65,236.0,266.61410361528397
1,66,236.0,266.61410361528397
1,67,234.0,266.61410361528397
1,68,234.0,266.61410361528397
1,69,234.0,266.61410361528397
1,70,234.0,266.61410361528397
1,71,234.0,266.61410361528397
1,72,234.0,266.61410361528397
1,73,234.0,266.61410361528397
1,74,235.0,267.23213762044907
1,75,239.0,268.1386785507202
1,76,239.0,268.1386785507202
1,77,5.5,265.89556163549423
1,78,5.0,265.83106929063797
1,79,0.5,264.4223310947418
1,80,0.0,263.88789451122284
2,1,617.5,488.654324054718
2,2,617.5,480.654324054718
2,3,617.5,472.654324054718
2,4,617.5,465.4871292114258
2,5,617.5,463.0018479824066
2,6,617.5,460.94830906391144
2,7,813.0,456.17060816287994
2,8,813.0,447.17060816287994
2,9,813.5,440.44220727682114
2,10,780.5,434.355318069458
2,11,779.5,426.9858818054199
2,12,772.5,419.9350137114525
2,13,771.5,414.4207739830017
2,14,768.5,409.2404339313507
2,15,755.5,405.03271716833115
2,16,754.5,400.08844512701035
2,17,729.5,394.08844512701035
2,18,728.0,387.5763944387436
2,19,723.0,381.71900337934494
2,20,648.0,372.86490136384964
2,21,648.0,361.86490136384964
2,22,648.0,351.86490136384964
2,23,648.0,342.86490136384964
2,24,648.0,335.99388605356216
2,25,648.0,333.09439128637314
2,26,648.0,334.02332359552383
2,27,657.5,336.35066163539886
2,28,656.5,333.64574390649796
2,29,636.5,331.1178717017174
2,30,627.0,324.0107966065407
2,31,626.0,318.62554156780243
2,32,642.5,315.67360240221024
2,33,642.0,312.9162430167198
2,34,637.0,312.4561576843262
2,35,503.0,308.8462643623352
2,36,499.0,306.49545139074326
2,37,498.0,304.20365542173386
2,38,480.0,301.97525453567505
2,39,473.0,298.8703684806824
2,40,477.0,296.42171835899353
2,41,476.0,293.89385437965393
2,42,475.0,292.078572511673
2,43,475.0,292.078572511673
2,44,266.0,290.4616330265999
2,45,266.0,287.2534289956093
2,46,260.5,285.1430675983429
2,47,276.0,279.6233470439911
2,48,272.0,278.01517194509506
2,49,265.5,277.63649225234985
2,50,248.0,274.080761551857
2,51,247.5,271.9091886281967
2,52,238.5,270.3703684806824
2,53,236.5,268.1998900771141
2,54,236.0,266.61410361528397
2,55,240.5,266.8223049044609
2,56,240.5,266.8223049044609
2,57,240.5,266.8223049044609
2,58,252.5,267.13320046663284
2,59,252.5,267.13320046663284
2,60,246.5,269.256715297699
2,61,251.0,268.6108145713806
2,62,251.5,268.3425017595291
2,63,236.0,266.61410361528397
2,64,234.0,266.61410361528397
2,65,234.0,266.61410361528397
2,66,233.5,267.00045043230057
2,67,232.5,268.00045043230057
2,68,231.0,268.49606961011887
2,69,233.0,268.2709577679634
2,70,231.5,268.18079048395157
2,71,17.5,267.12834334373474
2,72,12.5,267.09828758239746
2,73,10.0,266.7239859700203
2,74,9.5,266.5704208612442
2,75,9.5,266.5704208612442
2,76,3.0,265.1540182828903
2,77,2.5,264.58952593803406
2,78,0.0,263.88789451122284
2,79,0.5,264.4223310947418
2,80,1.0,267.17969048023224
3,1,617.5,491.147141456604
3,2,617.5,480.147141456604
3,3,617.5,471.0018479824066
3,4,617.5,463.0018479824066
3,5,617.5,457.0018479824066
3,6,617.5,453.2554392814636
3,7,617.5,449.63460075855255
3,8,815.5,445.174986243248
3,9,813.5,437.27658873796463
3,10,813.0,429.28206408023834
3,11,774.0,422.55366319417953
3,12,773.0,417.03942346572876
3,13,768.0,411.5475723743439
3,14,766.5,406.4207739830017
3,15,765.5,401.41748493909836
3,16,753.5,396.15075117349625
3,17,723.0,391.0939177274704
3,18,722.0,383.69113940000534
3,19,719.0,377.39276534318924
3,20,706.5,370.65231651067734
3,21,663.5,362.5190819501877
3,22,648.0,353.09439128637314
3,23,648.0,342.09439128637314
3,24,648.0,333.09439128637314
3,25,648.0,326.09439128637314
3,26,648.0,325.02332359552383
3,27,648.5,327.8162168264389
3,28,654.5,327.7615833878517
3,29,631.5,323.63587951660156
3,30,624.0,318.0397551059723
3,31,625.0,313.34846436977386
3,32,624.5,310.9140539765358
3,33,624.5,310.8883817791939
3,34,623.0,308.4895024895668
3,35,491.0,305.87960916757584
3,36,489.5,304.31950038671494
3,37,490.0,301.88508999347687
3,38,474.5,299.004218518734
3,39,472.0,296.4506796002388
3,40,473.0,293.21351432800293
3,41,472.5,291.8348346352577
3,42,472.0,291.7446673512459
3,43,275.0,289.0741889476776
3,44,271.0,285.42500191926956
3,45,265.5,282.0107883810997
3,46,259.0,279.1375895142555
3,47,258.0,276.4884024858475
3,48,256.0,274.88022738695145
3,49,245.0,275.08405059576035
3,50,246.0,271.66764253377914
3,51,245.0,270.13977855443954
3,52,237.0,267.78458201885223
3,53,236.0,266.61410361528397
3,54,234.5,266.78677105903625
3,55,234.5,266.78677105903625
3,56,236.0,266.61410361528397
3,57,237.5,267.405902326107
