row,column,area difference,gw path length
2,14,0.5,83.35910654067993
3,19,3.0,83.56731057167053
4,8,5.5,87.91436094045639
5,6,3.0,85.0684078335762
6,2,16.0,105.11927592754364
6,6,2.5,83.65419429540634
6,7,1.5,83.5760749578476
7,20,153.5,91.88430243730545
8,13,87.5,83.5269113779068
8,20,153.5,91.88430243730545
9,3,1.0,88.58373934030533
9,7,8.5,85.29413789510727
9,13,87.5,83.5269113779068
9,19,153.5,91.88430243730545
10,13,87.5,83.5269113779068
10,18,153.5,91.88430243730545
11,13,87.5,83.5269113779068
11,17,153.5,91.88430243730545
12,11,87.0,86.14823168516159
12,12,87.5,83.5269113779068
13,12,87.5,83.5269113779068
13,13,89.5,83.80508583784103
14,3,2.0,83.9869994521141
14,12,87.5,83.5269113779068
14,19,213.5,105.10017359256744
15,12,87.5,83.5269113779068
15,18,212.5,104.23621267080307
16,7,86.0,84.97775602340698
16,12,87.5,83.5269113779068
17,5,87.5,83.5269113779068
17,6,87.5,83.5269113779068
17,7,87.5,83.5269113779068
17,8,87.5,83.5269113779068
17,9,87.5,83.5269113779068
17,11,87.5,83.5269113779068
17,16,133.0,103.67939019203186
18,10,87.5,83.5269113779068
18,16,133.0,103.67939019203186
18,18,221.0,107.66514772176743
19,6,104.0,84.34438502788544
19,7,104.0,84.34438502788544
19,8,104.0,84.34438502788544
19,15,133.0,103.67939019203186
19,17,221.0,107.66514772176743
