row,column,area difference,gw path length
1,60,254.5,266.9260936975479
1,67,234.0,266.61410361528397
1,68,234.0,266.61410361528397
2,14,768.5,409.2404339313507
2,42,475.0,292.078572511673
2,54,236.0,266.61410361528397
2,56,240.5,266.8223049044609
2,57,240.5,266.8223049044609
2,63,236.0,266.61410361528397
2,65,234.0,266.61410361528397
2,66,233.5,267.00045043230057
2,76,3.0,265.1540182828903
3,10,813.0,429.28206408023834
3,11,774.0,422.55366319417953
3,13,768.0,411.5475723743439
3,40,473.0,293.21351432800293
3,41,472.5,291.8348346352577
3,47,258.0,276.4884024858475
3,53,236.0,266.61410361528397
3,56,236.0,266.61410361528397
3,62,236.0,266.61410361528397
4,31,624.0,308.14026033878326
4,36,488.5,299.49326235055923
4,40,470.0,291.03975236415863
4,48,255.5,272.0518003106117
4,52,236.0,266.61410361528397
4,57,236.0,266.61410361528397
4,58,236.0,266.61410361528397
4,59,236.0,266.61410361528397
4,60,236.0,266.61410361528397
5,27,648.0,313.3664694428444
5,50,242.0,266.9102831482887
5,51,236.0,266.61410361528397
5,75,5.0,264.51687920093536
5,76,6.0,266.5026394724846
5,78,12.5,271.35892778635025
6,12,612.5,404.42858028411865
6,17,592.5,373.55462127923965
6,49,242.0,266.9102831482887
6,51,236.0,266.61410361528397
6,54,221.5,267.0162664651871
6,73,7.0,266.8464062809944
6,76,7.0,271.88789451122284
6,79,14.0,277.794435441494
7,12,619.0,398.3367002606392
7,18,592.0,360.30321353673935
7,38,428.0,287.1599726676941
7,45,250.0,269.367079436779
7,46,249.5,267.19550651311874
7,47,249.5,267.19550651311874
7,50,236.0,266.61410361528397
7,57,116.0,266.88789451122284
8,3,1167.0,457.92030042409897
8,13,617.5,387.1765570640564
8,14,609.0,379.422481238842
8,20,579.5,338.31573778390884
8,26,551.0,306.8785146474838
8,35,432.5,291.2025554180145
8,38,427.5,284.33154559135437
8,44,250.0,268.6097200512886
8,45,249.5,267.19550651311874
8,49,236.0,266.61410361528397
8,54,135.0,267.5884259343147
8,67,18.0,268.154021024704
9,15,608.5,368.2623380422592
9,17,579.5,353.3393601179123
9,21,579.0,325.88947081565857
9,26,550.5,304.0500875711441
9,29,540.0,299.8194976449013
9,31,449.5,297.5533683896065
9,34,431.5,290.85940957069397
9,35,430.0,289.03098249435425
9,37,427.5,284.33154559135437
9,39,294.5,282.71570336818695
9,45,249.5,267.19550651311874
9,48,236.0,266.61410361528397
9,53,135.0,267.5884259343147
9,56,116.0,266.88789451122284
9,65,14.5,266.2742440700531
10,14,606.0,370.93281918764114
10,15,605.0,363.82293409109116
10,19,578.0,331.4523923397064
10,25,564.5,305.49654591083527
10,27,546.0,302.3473616242409
10,29,539.5,298.647924721241
10,31,446.5,296.0255044102669
10,36,427.5,284.33154559135437
10,38,294.5,282.71570336818695
